,,,,,,,
Condition,Time (s),X (m/s2),Y (m/s2),Z (m/s2),R (m/s2),Theta (deg),Phi (deg)
Healthy,0,5.026327,1.611597,8.479364,9.988034,31.902103,17.777468
Healthy,0.002625,5.007174,1.688211,8.747216,10.219376,31.135788,18.631975
Healthy,0.005249,4.98802,1.745672,8.996213,10.433578,30.43136,19.28867
Healthy,0.007874,4.739322,2.185906,9.110835,10.499842,29.8062,24.760456
Healthy,0.010498,4.279935,2.83683,9.417294,10.726176,28.601192,33.537243
Healthy,0.013123,4.069245,3.04722,9.60853,10.870518,27.882647,36.8274
Healthy,0.015747,3.878008,3.104681,9.704298,10.901898,27.108204,38.680294
Healthy,0.018372,3.973776,3.028067,9.531916,10.761854,27.660589,37.30785
Healthy,0.020996,4.14586,2.855983,9.168296,10.459562,28.771429,34.562023
Healthy,0.023621,4.471471,2.454057,8.957906,10.308274,29.657185,28.759098
Healthy,0.026245,4.720169,2.281674,8.957906,10.379312,30.338774,25.798578
Healthy,0.02887,4.949713,2.109292,8.957906,10.449538,30.990383,23.081001
Healthy,0.031494,5.390246,1.994669,8.919599,10.61097,32.796303,20.307076
Healthy,0.034119,5.351939,2.243367,8.479364,10.274997,34.386913,22.741922
Healthy,0.036743,5.332785,2.492065,8.019978,9.948318,36.277161,25.047161
Healthy,0.039368,5.007174,2.875137,7.866748,9.758275,36.277397,29.864595
Healthy,0.041992,4.56694,3.334524,7.637204,9.502783,36.516953,36.13483
Healthy,0.044617,4.433164,3.372532,7.579743,9.40635,36.311317,37.262089
Healthy,0.047241,4.394856,3.181295,7.311593,9.104657,36.576618,35.89957
Healthy,0.049866,4.356549,3.028067,7.13951,8.895016,36.616894,34.801647
Healthy,0.05249,4.318242,2.683601,6.794744,8.486311,36.805759,31.859165
Healthy,0.055115,4.509479,2.339135,7.005434,8.653501,35.948093,27.416454
Healthy,0.05774,4.490325,2.319981,7.292439,8.872711,34.725033,27.323689
Healthy,0.060364,4.490325,2.300828,7.579743,9.105456,33.649822,27.130449
Healthy,0.062989,4.279935,2.606986,8.058285,9.489477,31.877285,31.346355
Healthy,0.065613,4.030938,2.855983,8.077438,9.468374,31.449905,35.318176
Healthy,0.068238,3.78224,3.123835,8.096292,9.466448,31.211317,39.554043
Healthy,0.070862,3.514389,3.372532,7.98167,9.350506,31.393667,43.819992
Healthy,0.073487,3.284545,3.602376,7.77098,9.173521,32.101295,47.642315
Healthy,0.076111,3.322853,3.583222,7.656058,9.082734,32.54977,47.159115
Healthy,0.078736,3.57185,3.238756,7.464822,8.886575,32.858707,42.200008
Healthy,0.08136,3.839701,2.951452,7.579743,8.994825,32.575981,37.548302
Healthy,0.083985,4.356549,2.41575,7.77098,9.230575,32.661465,29.008801
Healthy,0.086609,4.681861,2.224213,8.039131,9.56528,32.812428,25.411005
Healthy,0.089234,4.701015,2.339135,8.096292,9.649925,32.965271,26.45406
Healthy,0.091858,4.739322,2.454057,8.153753,9.745114,33.206558,27.375462
Healthy,0.094483,4.490325,2.951452,8.287828,9.877357,32.957588,33.316574
Healthy,0.097107,4.433164,2.989759,8.498518,10.040737,32.177349,33.996029
Healthy,0.099732,4.375703,3.028067,8.708909,10.205933,31.425562,34.683945
Healthy,0.102356,4.299088,2.989759,8.613141,10.08003,31.298141,34.816307
Healthy,0.104981,4.279935,2.779369,8.479364,9.896583,31.041145,32.999496
Healthy,0.107605,4.337396,2.587833,8.441057,9.836734,30.894316,30.82169
Healthy,0.11023,4.681861,2.090138,8.632295,10.04017,30.708584,24.057568
Healthy,0.112854,4.911705,1.898901,8.938752,10.374582,30.503159,21.136868
Healthy,0.115479,5.351939,1.535282,9.570223,11.072014,30.190121,16.006313
Healthy,0.118103,5.351939,1.688211,9.761759,11.259895,29.893957,17.507318
Healthy,0.120728,5.122095,1.937208,9.723452,11.159487,29.387943,20.716932
Healthy,0.123352,4.911705,2.20506,9.704298,11.097772,29.021631,24.177208
Healthy,0.125977,4.318242,2.875137,9.60853,10.919592,28.365488,33.656147
Healthy,0.128601,4.203321,2.970606,9.570223,10.866534,28.272346,35.249935
Healthy,0.131226,4.088398,3.085527,9.531916,10.820947,28.251747,37.041973
Healthy,0.13385,4.107553,2.894291,9.340678,10.606468,28.278078,35.16954
Healthy,0.136475,4.241628,2.454057,9.129989,10.361974,28.22403,30.052166
Healthy,0.139099,4.337396,2.20506,9.091681,10.311835,28.154989,26.948025
Healthy,0.141724,4.681861,1.879748,9.264064,10.548751,28.5723,21.875252
Healthy,0.144348,4.662708,1.937208,9.302371,10.584315,28.49213,22.561348
Healthy,0.146973,4.662708,2.051831,9.378986,10.673156,28.508612,23.751957
Healthy,0.149597,4.394856,2.396596,9.378986,10.631266,28.090145,28.604446
Healthy,0.152222,4.279935,2.549525,9.359832,10.603036,28.024086,30.781942
Healthy,0.154846,4.165013,2.702754,9.340678,10.578302,27.993172,32.980289
Healthy,0.157471,3.858855,3.04722,9.149142,10.38668,28.254519,38.297077
Healthy,0.160095,3.839701,2.951452,9.034221,10.25044,28.194408,37.548302
Healthy,0.16272,3.839701,2.855983,8.919599,10.122212,28.21368,36.642002
Healthy,0.165344,4.165013,2.377442,8.957906,10.160888,28.163218,29.718271
Healthy,0.167969,4.758476,1.649904,9.110835,10.410215,28.933453,19.122944
